Âge au 1er janvier,2007,2008,2009,2010
0,770570,782260,792244,785907
1,754522,769491,781190,791184
2,750676,754860,769826,781526
3,749675,752290,756472,771441
4,758461,751699,754316,758504
5,773312,760515,753759,756376
6,788238,775270,762478,755723
7,759050,790328,777365,764573
8,754440,761225,792503,779538
9,742238,756749,763536,794814
10,752351,744664,759177,765965
11,746516,754940,747257,761771
12,728976,749182,757608,749928
13,728247,731679,751885,760313
14,763516,730894,734329,754534
15,777389,766227,733614,737052
16,794902,780108,768952,736350
17,804324,797459,782674,771526
18,811818,805955,799099,784326
19,805873,811817,805964,799117
20,808913,804519,810469,804628
21,788701,807122,802739,808696
22,768916,787664,806085,801713
23,750985,768842,787589,806010
24,794969,751793,769649,788396
25,798751,796478,753335,771190
26,804713,800969,798707,755597
27,758350,807783,804050,801798
28,743777,762414,811830,808109
29,756010,748643,767280,816679
30,738969,761328,753977,772613
31,763448,744110,766465,759130
32,812359,767993,748679,771030
33,863751,816059,771739,752449
34,888799,866648,819006,774734
35,887991,891064,868946,821357
36,871023,889703,892787,870704
37,863750,872372,891047,894143
38,858241,864805,873432,892101
39,859021,858989,865559,874190
40,884574,859369,859353,865928
41,885593,884524,859372,859372
42,898191,885176,884127,859032
43,889735,897460,884486,883458
44,861143,888649,896379,883449
45,867964,859822,887290,895025
46,863474,866327,858234,885662
47,861120,861589,864466,856428
48,843775,858972,859475,862380
49,843361,841456,856644,857186
50,838950,840775,838929,854107
51,830858,836132,838000,836218
52,833890,827844,833152,835066
53,820624,830733,824787,830130
54,835595,817301,827424,821579
55,817896,831962,813836,823976
56,852605,814029,828103,810152
57,841434,848285,810021,824101
58,841045,836800,843664,805765
59,826719,836044,831895,838851
60,784594,821371,830660,826720
61,591903,779063,815619,824997
62,580893,587423,773157,809553
63,565694,576102,582606,766931
64,528785,560599,570972,577540
65,471302,523624,555200,565605
66,490939,466325,518144,549531
67,518968,485337,461032,512407
68,508871,512523,479350,455460
69,502548,501964,505606,473024
70,505987,495027,494524,498272
71,496073,497752,487014,486716
72,502880,487313,489009,478643
73,486385,493110,477957,479770
74,498027,475964,482689,468008
75,480210,486274,464869,471621
76,475690,467672,473768,453069
77,439631,461961,454348,460474
78,425569,425462,447266,440143
79,402486,410366,410411,431768
80,386546,386492,394220,394563
81,365951,369390,369598,377248
82,336543,347742,351289,351761
83,316277,317804,328646,332281
84,294803,296462,298199,308647
85,277741,273980,275820,277738
86,253957,255692,252529,254520
87,135566,231261,233166,230570
88,104517,121889,208270,210295
89,81426,92643,108191,185181
90,64771,71088,81014,94750
91,65838,55529,61075,69721
92,83390,55430,46800,51586
93,66293,68877,45842,38751
94,51335,53600,55806,37200
95,36329,40522,42384,44225
96,27737,27976,31274,32773
97,18781,20698,20923,23450
98,12923,13573,15001,15200
99,8021,9019,9502,10535
100,5679,5398,6094,6441
101,3271,3685,3523,3992
102,1941,2067,2333,2244
103,1274,1186,1267,1433
104,747,757,707,758
105,490,430,438,411
106,393,271,241,246
107,85,209,146,132
108,101,92,152,151
